# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0.0293255;0.459433;2.93255e-05
0.58651;0.083089;0.503421;8.3089e-05
0.684262;0.156403;0.527859;0.000156403
0.782014;0.239492;0.542522;0.000239492
0.879765;0.322581;0.557185;0.000322581
0.977517;0.410557;0.56696;0.000410557
1.07527;0.498534;0.576735;0.000498534
1.17302;0.58651;0.58651;0.00058651
1.27077;0.679374;0.591398;0.000679374
1.36852;0.772239;0.596285;0.000772239
1.46628;0.865103;0.601173;0.000865103
1.56403;0.957967;0.606061;0.000957967
1.66178;1.05572;0.606061;0.00105572
1.75953;1.14858;0.610948;0.00114858
1.85728;1.24633;0.610948;0.00124633
1.95503;1.3392;0.615836;0.0013392
2.05279;1.43206;0.620723;0.00143206
2.15054;1.52981;0.620723;0.00152981
2.24829;1.62268;0.625611;0.00162268
2.34604;1.72043;0.625611;0.00172043
2.44379;1.81329;0.630499;0.00181329
2.54154;1.91105;0.630499;0.00191105
2.6393;2.00391;0.635386;0.00200391
2.73705;2.10166;0.635386;0.00210166
2.8348;2.19941;0.635386;0.00219941
2.93255;2.29717;0.635386;0.00229717
3.0303;2.39492;0.635386;0.00239492
3.12805;2.48778;0.640274;0.00248778
3.22581;2.58553;0.640274;0.00258553
3.32356;2.6784;0.645161;0.0026784
3.42131;2.77615;0.645161;0.00277615
3.51906;2.8739;0.645161;0.0028739
3.61681;2.97165;0.645161;0.00297165
3.71457;3.0694;0.645161;0.0030694
3.81232;3.16716;0.645161;0.00316716
3.91007;3.26491;0.645161;0.00326491
4.00782;3.35777;0.650049;0.00335777
4.10557;3.45552;0.650049;0.00345552
4.20332;3.55327;0.650049;0.00355327
4.30108;3.65103;0.650049;0.00365103
4.39883;3.74389;0.654936;0.00374389
4.49658;3.84164;0.654936;0.00384164
4.59433;3.93451;0.659824;0.00393451
4.69208;4.03226;0.659824;0.00403226
4.78983;4.13001;0.659824;0.00413001
4.88759;4.22776;0.659824;0.00422776
4.98534;4.32063;0.664712;0.00432063
