# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0;0.488759;0
0.58651;0;0.58651;0
0.684262;0;0.684262;0
0.782014;0;0.782014;0
0.879765;0;0.879765;0
0.977517;0;0.977517;0
1.07527;0;1.07527;0
1.17302;0;1.17302;0
1.27077;0;1.27077;0
1.36852;0.00977517;1.35875;9.77517e-06
1.46628;0.058651;1.40762;5.8651e-05
1.56403;0.131965;1.43206;0.000131965
1.66178;0.210166;1.45161;0.000210166
1.75953;0.293255;1.46628;0.000293255
1.85728;0.386119;1.47116;0.000386119
1.95503;0.474096;1.48094;0.000474096
2.05279;0.56696;1.48583;0.00056696
2.15054;0.654936;1.4956;0.000654936
2.24829;0.752688;1.4956;0.000752688
2.34604;0.845552;1.50049;0.000845552
2.44379;0.938416;1.50538;0.000938416
2.54154;1.03128;1.51026;0.00103128
2.6393;1.12414;1.51515;0.00112414
2.73705;1.2219;1.51515;0.0012219
2.8348;1.31476;1.52004;0.00131476
2.93255;1.41251;1.52004;0.00141251
3.0303;1.50538;1.52493;0.00150538
3.12805;1.60313;1.52493;0.00160313
3.22581;1.69599;1.52981;0.00169599
3.32356;1.79374;1.52981;0.00179374
3.42131;1.88661;1.5347;0.00188661
3.51906;1.98436;1.5347;0.00198436
3.61681;2.08211;1.5347;0.00208211
3.71457;2.17986;1.5347;0.00217986
3.81232;2.27761;1.5347;0.00227761
3.91007;2.37048;1.53959;0.00237048
4.00782;2.46823;1.53959;0.00246823
4.10557;2.56598;1.53959;0.00256598
4.20332;2.66373;1.53959;0.00266373
4.30108;2.7566;1.54448;0.0027566
4.39883;2.85435;1.54448;0.00285435
4.49658;2.9521;1.54448;0.0029521
4.59433;3.04985;1.54448;0.00304985
4.69208;3.14761;1.54448;0.00314761
4.78983;3.24536;1.54448;0.00324536
4.88759;3.34311;1.54448;0.00334311
4.98534;3.43597;1.54936;0.00343597
