# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0;0.488759;0
0.58651;0;0.58651;0
0.684262;0;0.684262;0
0.782014;0;0.782014;0
0.879765;0;0.879765;0
0.977517;0;0.977517;0
1.07527;0;1.07527;0
1.17302;0.00488759;1.16813;4.88759e-06
1.27077;0.0146628;1.25611;1.46628e-05
1.36852;0.0244379;1.34409;2.44379e-05
1.46628;0.0439883;1.42229;4.39883e-05
1.56403;0.0635386;1.50049;6.35386e-05
1.66178;0.0879765;1.5738;8.79765e-05
1.75953;0.12219;1.63734;0.00012219
1.85728;0.16129;1.69599;0.00016129
1.95503;0.200391;1.75464;0.000200391
2.05279;0.249267;1.80352;0.000249267
2.15054;0.298143;1.85239;0.000298143
2.24829;0.351906;1.89638;0.000351906
2.34604;0.410557;1.93548;0.000410557
2.44379;0.469208;1.97458;0.000469208
2.54154;0.532747;2.0088;0.000532747
2.6393;0.596285;2.04301;0.000596285
2.73705;0.664712;2.07234;0.000664712
2.8348;0.733138;2.10166;0.000733138
2.93255;0.806452;2.1261;0.000806452
3.0303;0.879765;2.15054;0.000879765
3.12805;0.953079;2.17498;0.000953079
3.22581;1.02639;2.19941;0.00102639
3.32356;1.09971;2.22385;0.00109971
3.42131;1.17791;2.2434;0.00117791
3.51906;1.25611;2.26295;0.00125611
3.61681;1.33431;2.2825;0.00133431
3.71457;1.41251;2.30205;0.00141251
3.81232;1.4956;2.31672;0.0014956
3.91007;1.5738;2.33627;0.0015738
4.00782;1.65689;2.35093;0.00165689
4.10557;1.73509;2.37048;0.00173509
4.20332;1.81818;2.38514;0.00181818
4.30108;1.90127;2.3998;0.00190127
4.39883;1.98925;2.40958;0.00198925
4.49658;2.07234;2.42424;0.00207234
4.59433;2.15543;2.43891;0.00215543
4.69208;2.23851;2.45357;0.00223851
4.78983;2.32649;2.46334;0.00232649
4.88759;2.41447;2.47312;0.00241447
4.98534;2.49756;2.48778;0.00249756
