# in; out; diff; current
0;0;0;0
0.0977517;0.0244379;0.0733138;2.44379e-05
0.195503;0.0977517;0.0977517;9.77517e-05
0.293255;0.175953;0.117302;0.000175953
0.391007;0.259042;0.131965;0.000259042
0.488759;0.347019;0.14174;0.000347019
0.58651;0.434995;0.151515;0.000434995
0.684262;0.522972;0.16129;0.000522972
0.782014;0.615836;0.166178;0.000615836
0.879765;0.7087;0.171065;0.0007087
0.977517;0.801564;0.175953;0.000801564
1.07527;0.894428;0.180841;0.000894428
1.17302;0.987292;0.185728;0.000987292
1.27077;1.08016;0.190616;0.00108016
1.36852;1.17791;0.190616;0.00117791
1.46628;1.27077;0.195503;0.00127077
1.56403;1.36364;0.200391;0.00136364
1.66178;1.46139;0.200391;0.00146139
1.75953;1.55425;0.205279;0.00155425
1.85728;1.652;0.205279;0.001652
1.95503;1.74487;0.210166;0.00174487
2.05279;1.84262;0.210166;0.00184262
2.15054;1.94037;0.210166;0.00194037
2.24829;2.03324;0.215054;0.00203324
2.34604;2.13099;0.215054;0.00213099
2.44379;2.22874;0.215054;0.00222874
2.54154;2.3216;0.219941;0.0023216
2.6393;2.41935;0.219941;0.00241935
2.73705;2.51711;0.219941;0.00251711
2.8348;2.60997;0.224829;0.00260997
2.93255;2.70772;0.224829;0.00270772
3.0303;2.80547;0.224829;0.00280547
3.12805;2.90323;0.224829;0.00290323
3.22581;3.00098;0.224829;0.00300098
3.32356;3.09384;0.229717;0.00309384
3.42131;3.19159;0.229717;0.00319159
3.51906;3.28935;0.229717;0.00328935
3.61681;3.3871;0.229717;0.0033871
3.71457;3.47996;0.234604;0.00347996
3.81232;3.57771;0.234604;0.00357771
3.91007;3.67546;0.234604;0.00367546
4.00782;3.76833;0.239492;0.00376833
4.10557;3.86608;0.239492;0.00386608
4.20332;3.96383;0.239492;0.00396383
4.30108;4.0567;0.244379;0.0040567
4.39883;4.15445;0.244379;0.00415445
4.49658;4.2522;0.244379;0.0042522
4.59433;4.34995;0.244379;0.00434995
4.69208;4.44282;0.249267;0.00444282
4.78983;4.54057;0.249267;0.00454057
4.88759;4.63832;0.249267;0.00463832
4.98534;4.73607;0.249267;0.00473607
