# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0;0.195503;0
0.293255;0;0.293255;0
0.391007;0;0.391007;0
0.488759;0;0.488759;0
0.58651;0;0.58651;0
0.684262;0.0439883;0.640274;4.39883e-05
0.782014;0.112414;0.669599;0.000112414
0.879765;0.190616;0.68915;0.000190616
0.977517;0.273705;0.703812;0.000273705
1.07527;0.361681;0.713587;0.000361681
1.17302;0.449658;0.723363;0.000449658
1.27077;0.542522;0.72825;0.000542522
1.36852;0.635386;0.733138;0.000635386
1.46628;0.72825;0.738025;0.00072825
1.56403;0.821114;0.742913;0.000821114
1.66178;0.918866;0.742913;0.000918866
1.75953;1.01173;0.747801;0.00101173
1.85728;1.10459;0.752688;0.00110459
1.95503;1.20235;0.752688;0.00120235
2.05279;1.3001;0.752688;0.0013001
2.15054;1.39296;0.757576;0.00139296
2.24829;1.48583;0.762463;0.00148583
2.34604;1.58358;0.762463;0.00158358
2.44379;1.68133;0.762463;0.00168133
2.54154;1.77419;0.767351;0.00177419
2.6393;1.87195;0.767351;0.00187195
2.73705;1.9697;0.767351;0.0019697
2.8348;2.06745;0.767351;0.00206745
2.93255;2.16031;0.772239;0.00216031
3.0303;2.25806;0.772239;0.00225806
3.12805;2.35582;0.772239;0.00235582
3.22581;2.45357;0.772239;0.00245357
3.32356;2.55132;0.772239;0.00255132
3.42131;2.64907;0.772239;0.00264907
3.51906;2.74682;0.772239;0.00274682
3.61681;2.83969;0.777126;0.00283969
3.71457;2.93744;0.777126;0.00293744
3.81232;3.03519;0.777126;0.00303519
3.91007;3.13294;0.777126;0.00313294
4.00782;3.23069;0.777126;0.00323069
4.10557;3.32845;0.777126;0.00332845
4.20332;3.4262;0.777126;0.0034262
4.30108;3.51906;0.782014;0.00351906
4.39883;3.61681;0.782014;0.00361681
4.49658;3.71457;0.782014;0.00371457
4.59433;3.81232;0.782014;0.00381232
4.69208;3.91007;0.782014;0.00391007
4.78983;4.00782;0.782014;0.00400782
4.88759;4.10068;0.786901;0.00410068
4.98534;4.19844;0.786901;0.00419844
