# in; out; diff; current
0;0;0;0
0.0977517;0;0.0977517;0
0.195503;0.0195503;0.175953;1.95503e-05
0.293255;0.0879765;0.205279;8.79765e-05
0.391007;0.166178;0.224829;0.000166178
0.488759;0.254154;0.234604;0.000254154
0.58651;0.347019;0.239492;0.000347019
0.684262;0.439883;0.244379;0.000439883
0.782014;0.532747;0.249267;0.000532747
0.879765;0.625611;0.254154;0.000625611
0.977517;0.718475;0.259042;0.000718475
1.07527;0.811339;0.26393;0.000811339
1.17302;0.909091;0.26393;0.000909091
1.27077;1.00684;0.26393;0.00100684
1.36852;1.09971;0.268817;0.00109971
1.46628;1.19746;0.268817;0.00119746
1.56403;1.29032;0.273705;0.00129032
1.66178;1.38807;0.273705;0.00138807
1.75953;1.48583;0.273705;0.00148583
1.85728;1.57869;0.278592;0.00157869
1.95503;1.67644;0.278592;0.00167644
2.05279;1.77419;0.278592;0.00177419
2.15054;1.87195;0.278592;0.00187195
2.24829;1.9697;0.278592;0.0019697
2.34604;2.06256;0.28348;0.00206256
2.44379;2.16031;0.28348;0.00216031
2.54154;2.25806;0.28348;0.00225806
2.6393;2.35582;0.28348;0.00235582
2.73705;2.45357;0.28348;0.00245357
2.8348;2.55132;0.28348;0.00255132
2.93255;2.64907;0.28348;0.00264907
3.0303;2.74682;0.28348;0.00274682
3.12805;2.84457;0.28348;0.00284457
3.22581;2.94233;0.28348;0.00294233
3.32356;3.04008;0.28348;0.00304008
3.42131;3.13783;0.28348;0.00313783
3.51906;3.23069;0.288368;0.00323069
3.61681;3.32845;0.288368;0.00332845
3.71457;3.4262;0.288368;0.0034262
3.81232;3.52395;0.288368;0.00352395
3.91007;3.6217;0.288368;0.0036217
4.00782;3.71945;0.288368;0.00371945
4.10557;3.8172;0.288368;0.0038172
4.20332;3.91007;0.293255;0.00391007
4.30108;4.00782;0.293255;0.00400782
4.39883;4.10557;0.293255;0.00410557
4.49658;4.20332;0.293255;0.00420332
4.59433;4.29619;0.298143;0.00429619
4.69208;4.39394;0.298143;0.00439394
4.78983;4.49169;0.298143;0.00449169
4.88759;4.58944;0.298143;0.00458944
4.98534;4.68719;0.298143;0.00468719
