# in; out; diff; current
0;0;0;0
0.0977517;0.0733138;0.0244379;7.33138e-05
0.195503;0.16129;0.0342131;0.00016129
0.293255;0.249267;0.0439883;0.000249267
0.391007;0.337243;0.0537634;0.000337243
0.488759;0.42522;0.0635386;0.00042522
0.58651;0.513196;0.0733138;0.000513196
0.684262;0.601173;0.083089;0.000601173
0.782014;0.68915;0.0928641;0.00068915
0.879765;0.777126;0.102639;0.000777126
0.977517;0.865103;0.112414;0.000865103
1.07527;0.953079;0.12219;0.000953079
1.17302;1.04106;0.131965;0.00104106
1.27077;1.12903;0.14174;0.00112903
1.36852;1.21701;0.151515;0.00121701
1.46628;1.30499;0.16129;0.00130499
1.56403;1.39296;0.171065;0.00139296
1.66178;1.48094;0.180841;0.00148094
1.75953;1.56891;0.190616;0.00156891
1.85728;1.65689;0.200391;0.00165689
1.95503;1.74487;0.210166;0.00174487
2.05279;1.83284;0.219941;0.00183284
2.15054;1.92571;0.224829;0.00192571
2.24829;2.01369;0.234604;0.00201369
2.34604;2.10166;0.244379;0.00210166
2.44379;2.18964;0.254154;0.00218964
2.54154;2.27761;0.26393;0.00227761
2.6393;2.36559;0.273705;0.00236559
2.73705;2.45357;0.28348;0.00245357
2.8348;2.54154;0.293255;0.00254154
2.93255;2.62952;0.30303;0.00262952
3.0303;2.72239;0.307918;0.00272239
3.12805;2.81036;0.317693;0.00281036
3.22581;2.89834;0.327468;0.00289834
3.32356;2.98631;0.337243;0.00298631
3.42131;3.07429;0.347019;0.00307429
3.51906;3.16227;0.356794;0.00316227
3.61681;3.25024;0.366569;0.00325024
3.71457;3.33822;0.376344;0.00333822
3.81232;3.4262;0.386119;0.0034262
3.91007;3.51417;0.395894;0.00351417
4.00782;3.60215;0.40567;0.00360215
4.10557;3.69013;0.415445;0.00369013
4.20332;3.7781;0.42522;0.0037781
4.30108;3.86608;0.434995;0.00386608
4.39883;3.95406;0.44477;0.00395406
4.49658;4.04203;0.454545;0.00404203
4.59433;4.13001;0.464321;0.00413001
4.69208;4.21799;0.474096;0.00421799
4.78983;4.30108;0.488759;0.00430108
4.88759;4.39394;0.493646;0.00439394
4.98534;4.47703;0.508309;0.00447703
