# in0; in1; out0; out1; out2; out3; currentDrain
0;3;0;0;2.72727;3.00098;0
0.5;3;0.483871;0;2.72727;3.00098;0.000864055
1;3;0.982405;0.00488759;2.72727;3.00098;0.00174557
1.5;3;1.48583;0.00977517;2.72727;3.00098;0.00263581
2;3;1.98925;0.0195503;2.72727;3.00098;0.00351732
2.5;3;2.49267;0.0244379;2.72727;3.00098;0.00440755
3;3;2.9912;0.0342131;2.72727;3.00098;0.00528034
3.5;3;3.49462;0.0439883;2.72727;3.00098;0.00616185
4;3;3.99316;0.0488759;2.72727;3.00098;0.00704336
4.5;3;4.49169;0.058651;2.72727;3.00098;0.00791614
5;3;4.99022;0.0684262;2.72727;3.00098;0.00878893
